MTD	LDA_TG34-title	TG-34
MTD	LDA_TG34-instrument[1]-name	[MS,MS:1000448,LTQ FT,]
MTD	LDA_TG34-instrument[1]-source	[MS,MS:1000073,Electrospray Ionization,]
MTD	LDA_TG34-instrument[1]-analyzer	[MS,MS:1000079,FT_ICR,]
MTD	LDA_TG34-software[1]	[,,LipidDataAnalyzer,1.6.1]
MTD	LDA_TG34-contact[1]-name	Friedrich Spener
MTD	LDA_TG34-contact[1]-affiliation	Department of Molecular Biosciences, University of Graz, Lipidomics Research Center , 8010 Graz, Austria
MTD	LDA_TG34-contact[1]-email	fritz.spener@uni-graz.at
MTD	LDA_TG34-contact[2]-name	Harald C Koefeler
MTD	LDA_TG34-contact[2]-affiliation	Core Facility for Mass Spectrometry, Center for Medical Research, Medical University of Graz, Lipidomics Research Center , 8010 Graz, Austria
MTD	LDA_TG34-contact[2]-email	harald.koefeler@klinikum-graz.at
MTD	LDA_TG34-contact[3]-name	Martin Troetzmueller
MTD	LDA_TG34-contact[3]-affiliation	Core Facility for Mass Spectrometry, Center for Medical Research, Medical University of Graz, Lipidomics Research Center , 8010 Graz, Austria
MTD	LDA_TG34-contact[3]-email	martin.troetzmueller@klinikum-graz.at
MTD	LDA_TG34-contact[4]-name	Juergen Hartler
MTD	LDA_TG34-contact[4]-affiliation	Institute for Genomics and Bioinformatics, Graz University of Technology, and Core Facility Bioinformatics, Austrian Centre for Industrial Biotechnology , 8010 Graz, Austria
MTD	LDA_TG34-contact[4]-email	juergen.hartler@tugraz.at
MTD	LDA_TG34-contact[5]-name	Gerhard Thallinger
MTD	LDA_TG34-contact[5]-affiliation	Institute for Genomics and Bioinformatics, Graz University of Technology, and Core Facility Bioinformatics, Austrian Centre for Industrial Biotechnology , 8010 Graz, Austria
MTD	LDA_TG34-contact[5]-email	gerhard.thallinger@tugraz.at
MTD	LDA_TG34-quantification_method	[,,LDA quantification,]
MTD	LDA_TG34-species[1]	[NEWT,10090,Mus musculus (Mouse),]
MTD	LDA_TG34-tissue[1]	[BTO,BTO:0000759,liver,]
MTD	LDA_TG34-cell_type[1]	[CL,CL:0000182,hepatocyte,]

SMH	identifier	unit_id	chemical_formula	smiles	inchi_key	description	mass_to_charge	charge	retention_time	taxid	species	database	database_version	reliability	uri	spectra_ref	search_engine	search_engine_score	modifications	smallmolecule_abundance_sub[1]	smallmolecule_abundance_stdev_sub[1]	smallmolecule_abundance_std_error_sub[1]
SML	TG32:0	LDA_TG34	H66O6C35	null	null	null	600.5207	1	936.6	null	null	null	null	null	null	null	[,,LipidDataAnalyzer,1.6.1]	null	CHEMMOD:+H4N1	429085.90625	null	null
SML	TG32:1	LDA_TG34	H64O6C35	null	null	null	598.5051	1	855.4	null	null	null	null	null	null	null	[,,LipidDataAnalyzer,1.6.1]	null	CHEMMOD:+H4N1	50578.734375	null	null
SML	TG34:0	LDA_TG34	H70O6C37	null	null	null	628.551	1	1023.7	null	null	null	null	null	null	null	[,,LipidDataAnalyzer,1.6.1]	null	CHEMMOD:+H4N1	969.4111328125	null	null
SML	TG34:1	LDA_TG34	H68O6C37	null	null	null	626.5364	1	941.5	null	null	null	null	null	null	null	[,,LipidDataAnalyzer,1.6.1]	null	CHEMMOD:+H4N1	3025769.5	null	null
SML	TG34:2	LDA_TG34	H66O6C37	null	null	null	624.5207	1	864.0	null	null	null	null	null	null	null	[,,LipidDataAnalyzer,1.6.1]	null	CHEMMOD:+H4N1	623180.6875	null	null
SML	TG36:1	LDA_TG34	H72O6C39	null	null	null	654.5677	1	1028.1	null	null	null	null	null	null	null	[,,LipidDataAnalyzer,1.6.1]	null	CHEMMOD:+H4N1	295779.15625	null	null
SML	TG36:2	LDA_TG34	H70O6C39	null	null	null	652.539	1	936.6	null	null	null	null	null	null	null	[,,LipidDataAnalyzer,1.6.1]	null	CHEMMOD:+H4N1	343852.34375	null	null
SML	TG36:4	LDA_TG34	H66O6C39	null	null	null	648.52	1	837.7	null	null	null	null	null	null	null	[,,LipidDataAnalyzer,1.6.1]	null	CHEMMOD:+H4N1	22262.23046875	null	null
SML	TG40:0	LDA_TG34	H82O6C43	null	null	null	712.6459	1	1243.1	null	null	null	null	null	null	null	[,,LipidDataAnalyzer,1.6.1]	null	CHEMMOD:+H4N1	1161080.875	null	null
SML	TG40:1	LDA_TG34	H80O6C43	null	null	null	710.6303	1	1179.9	null	null	null	null	null	null	null	[,,LipidDataAnalyzer,1.6.1]	null	CHEMMOD:+H4N1	1704807.5	null	null
SML	TG42:1	LDA_TG34	H84O6C45	null	null	null	738.6616	1	1243.1	null	null	null	null	null	null	null	[,,LipidDataAnalyzer,1.6.1]	null	CHEMMOD:+H4N1	2.4944384E7	null	null
SML	TG42:2	LDA_TG34	H82O6C45	null	null	null	736.6449	1	1184.9	null	null	null	null	null	null	null	[,,LipidDataAnalyzer,1.6.1]	null	CHEMMOD:+H4N1	1.3303928E7	null	null
SML	TG42:3	LDA_TG34	H80O6C45	null	null	null	734.6312	1	1129.9	null	null	null	null	null	null	null	[,,LipidDataAnalyzer,1.6.1]	null	CHEMMOD:+H4N1	1135726.5	null	null
SML	TG44:1	LDA_TG34	H88O6C47	null	null	null	766.6939	1	1299.6	null	null	null	null	null	null	null	[,,LipidDataAnalyzer,1.6.1]	null	CHEMMOD:+H4N1	3355115.5	null	null
SML	TG44:2	LDA_TG34	H86O6C47	null	null	null	764.6782	1	1248.2	null	null	null	null	null	null	null	[,,LipidDataAnalyzer,1.6.1]	null	CHEMMOD:+H4N1	7039696.0	null	null
SML	TG44:3	LDA_TG34	H84O6C47	null	null	null	762.6625	1	1189.5	null	null	null	null	null	null	null	[,,LipidDataAnalyzer,1.6.1]	null	CHEMMOD:+H4N1	6060362.0	null	null
SML	TG46:1	LDA_TG34	H92O6C49	null	null	null	794.7252	1	1358.6	null	null	null	null	null	null	null	[,,LipidDataAnalyzer,1.6.1]	null	CHEMMOD:+H4N1	5114248.0	null	null
SML	TG44:4	LDA_TG34	H82O6C47	null	null	null	760.6459	1	1159.8	null	null	null	null	null	null	null	[,,LipidDataAnalyzer,1.6.1]	null	CHEMMOD:+H4N1	1.3746786E7	null	null
SML	TG46:3	LDA_TG34	H88O6C49	null	null	null	790.6939	1	1257.2	null	null	null	null	null	null	null	[,,LipidDataAnalyzer,1.6.1]	null	CHEMMOD:+H4N1	5150507.0	null	null
SML	TG46:2	LDA_TG34	H90O6C49	null	null	null	792.7085	1	1302.9	null	null	null	null	null	null	null	[,,LipidDataAnalyzer,1.6.1]	null	CHEMMOD:+H4N1	4956301.0	null	null
SML	TG46:5	LDA_TG34	H84O6C49	null	null	null	786.6625	1	1164.8	null	null	null	null	null	null	null	[,,LipidDataAnalyzer,1.6.1]	null	CHEMMOD:+H4N1	6291653.0	null	null
SML	TG46:4	LDA_TG34	H86O6C49	null	null	null	788.6772	1	1223.6	null	null	null	null	null	null	null	[,,LipidDataAnalyzer,1.6.1]	null	CHEMMOD:+H4N1	8410127.0	null	null
SML	TG48:0	LDA_TG34	H98O6C51	null	null	null	824.7691	1	1475.2	null	null	null	null	null	null	null	[,,LipidDataAnalyzer,1.6.1]	null	CHEMMOD:+H4N1	2.4608106E7	null	null
SML	TG46:6	LDA_TG34	H82O6C49	null	null	null	784.6459	1	1134.9	null	null	null	null	null	null	null	[,,LipidDataAnalyzer,1.6.1]	null	CHEMMOD:+H4N1	1.7314378E7	null	null
SML	TG48:2	LDA_TG34	H94O6C51	null	null	null	820.7408	1	1358.6	null	null	null	null	null	null	null	[,,LipidDataAnalyzer,1.6.1]	null	CHEMMOD:+H4N1	6.9025576E7	null	null
SML	TG48:1	LDA_TG34	H96O6C51	null	null	null	822.7544	1	1412.7	null	null	null	null	null	null	null	[,,LipidDataAnalyzer,1.6.1]	null	CHEMMOD:+H4N1	6.3068676E7	null	null
SML	TG48:4	LDA_TG34	H90O6C51	null	null	null	816.7095	1	1273.6	null	null	null	null	null	null	null	[,,LipidDataAnalyzer,1.6.1]	null	CHEMMOD:+H4N1	2795123.0	null	null
SML	TG48:3	LDA_TG34	H92O6C51	null	null	null	818.7252	1	1307.4	null	null	null	null	null	null	null	[,,LipidDataAnalyzer,1.6.1]	null	CHEMMOD:+H4N1	1.9523626E7	null	null
SML	TG48:6	LDA_TG34	H86O6C51	null	null	null	812.6772	1	1194.0	null	null	null	null	null	null	null	[,,LipidDataAnalyzer,1.6.1]	null	CHEMMOD:+H4N1	2153587.0	null	null
SML	TG48:5	LDA_TG34	H88O6C51	null	null	null	814.6939	1	1228.6	null	null	null	null	null	null	null	[,,LipidDataAnalyzer,1.6.1]	null	CHEMMOD:+H4N1	626969.625	null	null
SML	TG48:8	LDA_TG34	H82O6C51	null	null	null	808.6459	1	1084.0	null	null	null	null	null	null	null	[,,LipidDataAnalyzer,1.6.1]	null	CHEMMOD:+H4N1	222356.484375	null	null
SML	TG48:7	LDA_TG34	H84O6C51	null	null	null	810.6625	1	1134.9	null	null	null	null	null	null	null	[,,LipidDataAnalyzer,1.6.1]	null	CHEMMOD:+H4N1	1626087.0	null	null
SML	TG50:2	LDA_TG34	H98O6C53	null	null	null	848.7691	1	1412.7	null	null	null	null	null	null	null	[,,LipidDataAnalyzer,1.6.1]	null	CHEMMOD:+H4N1	7.24477248E8	null	null
SML	TG50:3	LDA_TG34	H96O6C53	null	null	null	846.7544	1	1358.6	null	null	null	null	null	null	null	[,,LipidDataAnalyzer,1.6.1]	null	CHEMMOD:+H4N1	3.54866912E8	null	null
SML	TG50:0	LDA_TG34	H102O6C53	null	null	null	852.8014	1	1523.4	null	null	null	null	null	null	null	[,,LipidDataAnalyzer,1.6.1]	null	CHEMMOD:+H4N1	3.6069232E7	null	null
